0:0:0:0:0:0:0:1 - - [15/Feb/2022:13:58:49 +0200] "GET /lab1/styles.ef46db3751d8e999.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2022:13:58:49 +0200] "GET /lab1/polyfills.503f0d7ef4e70b9a.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2022:13:58:49 +0200] "GET /lab1/runtime.f17cbbd0ef4c6078.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2022:13:58:50 +0200] "GET /lab1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2022:13:58:50 +0200] "GET /lab1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2022:13:58:53 +0200] "GET /lab1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2022:13:58:53 +0200] "GET /lab1/polyfills.503f0d7ef4e70b9a.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2022:13:58:53 +0200] "GET /lab1/styles.ef46db3751d8e999.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2022:13:58:53 +0200] "GET /lab1/runtime.f17cbbd0ef4c6078.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2022:13:58:53 +0200] "GET /lab1/main.d83b25e3fa5eae16.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2022:13:58:53 +0200] "GET /lab1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2022:13:58:54 +0200] "GET /lab1/Servlet1 HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [15/Feb/2022:13:58:55 +0200] "GET /lab1/Servlet1 HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [15/Feb/2022:13:58:56 +0200] "GET /lab1/Servlet1 HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [15/Feb/2022:13:58:57 +0200] "GET /lab1/Servlet1 HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [15/Feb/2022:13:58:58 +0200] "GET /lab1/Servlet1 HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [15/Feb/2022:13:58:58 +0200] "GET /lab1/Servlet1 HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [15/Feb/2022:14:01:14 +0200] "GET /lab1/styles.ef46db3751d8e999.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2022:14:03:05 +0200] "GET /lab1/ HTTP/1.1" 200 546
0:0:0:0:0:0:0:1 - - [15/Feb/2022:14:03:06 +0200] "GET /lab1/runtime.f17cbbd0ef4c6078.js HTTP/1.1" 200 1063
0:0:0:0:0:0:0:1 - - [15/Feb/2022:14:03:06 +0200] "GET /lab1/styles.ef46db3751d8e999.css HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [15/Feb/2022:14:03:06 +0200] "GET /lab1/main.00385297e95e9b3a.js HTTP/1.1" 200 203494
0:0:0:0:0:0:0:1 - - [15/Feb/2022:14:03:06 +0200] "GET /lab1/polyfills.503f0d7ef4e70b9a.js HTTP/1.1" 200 37058
0:0:0:0:0:0:0:1 - - [15/Feb/2022:14:03:06 +0200] "GET /lab1/favicon.ico HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2022:14:03:10 +0200] "GET /lab1/Servlet1 HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [15/Feb/2022:14:06:02 +0200] "GET /lab1/ HTTP/1.1" 200 546
0:0:0:0:0:0:0:1 - - [15/Feb/2022:14:06:02 +0200] "GET /lab1/styles.ef46db3751d8e999.css HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [15/Feb/2022:14:06:02 +0200] "GET /lab1/main.0d1e87048fa1acc9.js HTTP/1.1" 200 203418
0:0:0:0:0:0:0:1 - - [15/Feb/2022:14:06:02 +0200] "GET /lab1/runtime.f17cbbd0ef4c6078.js HTTP/1.1" 200 1063
0:0:0:0:0:0:0:1 - - [15/Feb/2022:14:06:02 +0200] "GET /lab1/polyfills.503f0d7ef4e70b9a.js HTTP/1.1" 200 37058
0:0:0:0:0:0:0:1 - - [15/Feb/2022:14:06:04 +0200] "GET /lab1/Servlet1 HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [15/Feb/2022:14:06:07 +0200] "GET /lab1/Servlet1 HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [15/Feb/2022:14:06:09 +0200] "GET /lab1/Servlet1 HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [15/Feb/2022:14:06:10 +0200] "GET /lab1/Servlet1 HTTP/1.1" 200 52
